article_id,source_url
1c5c54db-ecee-4564-85cf-1bca3e01f1b9,"https://youtu.be/aJwC4eQbAyE?si=kXEbTGYBpTZQeLUF"""
53cb16b6-a143-4df2-a670-bca618bb1d3a,"https://youtu.be/UlqVKf_DAg0?si=M_NkfOys2yRrL_xS"""
5af614eb-64fc-48ce-ae04-000e629fd49e,"https://youtu.be/moWJf--KngQ?si=ejefvD1QADDNt9y2"""
c76c3691-3b5c-49a0-aa7a-40dc2ea30a59,"https://youtu.be/KwufzWMDw_8?si=T-kiY2MI3FCvieLd"""
905e95cd-ebfc-44b3-a923-7d6f4c1451ca,"https://youtu.be/19n0QKtNFlY?si=_Xlpizf2nwu6GPwS"""
d9c3e9fe-6e6c-4876-9085-29f746621aa9,"https://youtu.be/FMLr_gQXNSE?si=KUVsJAvaGILV4wA"""
fce0d629-9904-4efb-8e61-d9d829e8fbed,"https://youtu.be/BYIyEHPERvI?si=Y-xBA7Q7K0HotP"""
e4705737-05f1-41ba-9290-4126ee2a423f,"https://youtu.be/Oa8fXE5IX28?si=iclVJtRHNI229RB0"""
77b20044-872d-49ff-a9fc-feed80a1ea53,"https://youtu.be/rj68-n2wMqA?si=qptHlp_W__8FBGKe"""
ddf54a1a-8b24-47f4-965e-8c6ac04d8e3a,"https://youtu.be/zfbv-9L-EkY?si=UEHepbhLmuZP_ssp"""
df37b96c-d291-422e-b0b6-dd26a2cb1087,"https://youtu.be/hfjZ-NRSdpA?si=MNGaQtOU0huaWA"""
d46d5e6c-d7e1-4f1b-aa6d-783e014003d2,"https://youtu.be/hfjZ-NRSdpA?si=MNGaQtU0huaWA"""
107e88d2-d08e-4c69-be3d-18f5718e7022,"https://youtu.be/nbROd9oVu78?si=c9xV4dLq7v3Chx5I"""
499181cf-4ac5-456d-9857-d8011278a489,"https://youtu.be/0gVZ7rh8BPA?si=7npGdX5m--SDPPA"""
78c013f4-7bc6-47b6-8a02-5f3d854a1015,"https://youtu.be/XnxP1WU51H4?si=NHFgRyXRUvAfMZWvE"""
39869168-9966-4402-824f-70f7a0ea36c0,"https://youtu.be/Xk0A0Qb1ufE?si=R-DwrbhstjlGl0e"""
ab6618de-87f8-4968-9d87-14ce7b6c77ac,"https://youtu.be/e7F0-DS9rEs?si=i6hTY644Xnd2tFoY"""
b069c992-3f13-4883-9773-41c6e02f61db,"https://youtu.be/z_vPXvB3JRA?si=8wf_Vued7Ma3dLd"""
3dc3e23a-09c2-43bf-8719-874621e1a18e,"https://youtu.be/B0uYsZAisIE?si=P56TEDMFvFtBNLxX"""
56402ec8-6511-4cd9-90f8-caa913d09f4f,"https://youtu.be/B4pyVkawy5A?si=2oPuCMxcv-x8"""
a946e917-2a95-4959-828a-e2cf24745e10,"https://youtu.be/FGq01h8Zqs4?si=CtBc8ZlP-L001zH0"""
8ff417e0-1d5e-46b1-b376-9f8dc96d3473,"https://youtu.be/ZJAsF1UI3XE?si=l2JVlxVC08MrJSfU"""
0459f93f-68c1-40a5-8622-ae68554e6f2f,"https://youtu.be/ZA4Xai_CZE0?si=mD8F1g_qX2z7R"""
535ac76a-90ff-4b5c-a8ec-ed8f9b4eb578,"https://youtu.be/4OydgOSPwmk?si=sLyDHRlkkE0S4hM"""
